question,document
"Does missing homework hurt my chances of getting certified, or only my leaderboard score?",9f689c185f
Why does the homework content keep changing before the deadline?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
How can I tell if the homework is actually ready to work on?,96286b4be4
Can I start the assignment early if the homework form is already open?,96286b4be4
"Is it safe to do the homework while it still says [DRAFT], or could the final version change?",96286b4be4
When is the next run of the course scheduled for?,bd31146b0e
Do you know when this course will be available again?,bd31146b0e
What’s the expected start time for the next course offering?,bd31146b0e
Is there a planned session of the course coming up soon?,bd31146b0e
When can I take this course again if I missed it this time?,bd31146b0e
"Are there any lecture videos for this course, and where can I find them?",31456f4b5f
I can’t find the lessons anywhere — is there a main place to start for the videos?,31456f4b5f
Where do I open the course pages to get to the video links for each lesson?,31456f4b5f
"Is there a YouTube playlist for all the lectures, or should I use something else first?",31456f4b5f
What’s the best place to check for the latest lesson videos if I want the most up-to-date info?,31456f4b5f
Where do I check the LLM Zoomcamp syllabus and all the deadlines in one place?,20c5a1347e
Is there a course platform for tracking my homework and progress in LLM Zoomcamp?,20c5a1347e
How can I follow the current cohort structure for the LLM Zoomcamp course?,20c5a1347e
"What should I use to see assignments, due dates, and my progress in LLM Zoomcamp?",20c5a1347e
Does LLM Zoomcamp have a management site like the other DataTalks.Club Zoomcamps?,20c5a1347e
"Do you guys have live sessions or office hours for every module, or is everything just pre-recorded?",d65e05bd7a
"If I get stuck on a module, where should I ask for help since there aren't separate live classes?",d65e05bd7a
"Are the course lessons all in the repo as recordings, or are there also regular Zoom sessions built in?",d65e05bd7a
How do live sessions work in this course — are they scheduled for each module or only announced sometimes?,d65e05bd7a
Is there any extra paid option if I want regular office hours and more support?,d65e05bd7a
Can I count my Bluesky posts toward learning in public credits for this course?,dbf5369006
Does Bluesky qualify if I want to get learning in public credits?,dbf5369006
"Are Bluesky posts accepted as learning in public credits, or is it only for other platforms?",dbf5369006
"If I post my progress on Bluesky, can I use that for learning in public credits?",dbf5369006
Is Bluesky allowed for earning learning in public credits in llm-zoomcamp?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Can you share the LLM Zoomcamp Telegram link?,054f3fd58f
Where do I find the Telegram channel for course announcements?,054f3fd58f
"Is there a Telegram group for LLM Zoomcamp, and what is it used for?",054f3fd58f
Should I ask technical questions in Telegram or somewhere else?,054f3fd58f
Why does my FAQ dataset have a different number of records than the one shown in the course videos?,e2d595f23c
"Is the FAQ data supposed to stay the same, or does it change over time?",e2d595f23c
I counted fewer or more FAQ entries than in the video—why is that happening?,e2d595f23c
Why can't I get the exact same record count from the FAQ dataset as in the lectures?,e2d595f23c
"Did the FAQ dataset get updated since the videos were recorded, and is that why my results don't match?",e2d595f23c
Can I still turn in the homework after the deadline if the submission form is still open?,a9353fadfe
The deadline already passed but the homework form is open — does that mean I can still submit?,a9353fadfe
Is it okay to submit the assignment late as long as the form hasn’t been closed yet?,a9353fadfe
When does homework submission actually stop: at the deadline or only after the form closes?,a9353fadfe
"If I missed the deadline, can I still upload my answers before the submission form closes?",a9353fadfe
"Can I still turn in homework after the deadline has passed, or is the form closed for good?",cdc3b285e5
Do you ever give deadline extensions for homework if someone asks?,cdc3b285e5
"If I miss one homework, does that mean I lose the certificate?",cdc3b285e5
Are late homework submissions accepted at all once the deadline is over?,cdc3b285e5
"Does homework count for the certificate, or is it only used for leaderboard points?",cdc3b285e5
"If I type my real name for the certificate, will it be visible to everyone online or passed to other companies?",651ba06b34
What name shows up on the public leaderboard — is it the same as the one printed on the certificate?,651ba06b34
Can I keep my real name off the leaderboard but still have it on the certificate?,651ba06b34
"In Edit Course Profile, which field is for the leaderboard nickname and which one is for the certificate name?",651ba06b34
"Is the certificate name used anywhere publicly, or is it only shown on the certificate itself?",651ba06b34
Why doesn’t the course start with LangChain for RAG apps?,b7cdde6b25
What’s the reason we build retrieval and prompting manually before using a framework?,b7cdde6b25
Is LangChain avoided because the course wants us to learn the low-level pieces first?,b7cdde6b25
Why do we need to understand indexing and evaluation before adopting a library like LangChain?,b7cdde6b25
What is the benefit of learning the core LLM app components before using a framework?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
"What does it mean if `responses.create` fails with an ""Insufficient credits"" message?",f5df151c59
How can I fix the error I see from OpenAI when using the `responses.create` command?,f5df151c59
Is the `OpenAI API Error: Insufficient credits` issue caused by my code or my account balance?,f5df151c59
Why does the OpenAI `responses.create` call stop working with a credits-related error?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"What does ""insufficient_quota"" mean when I call the OpenAI API?",152af39a53
"Do I need to pay for OpenAI API usage, or is there a free tier for this?",152af39a53
"After adding money to my OpenAI account, do I have to create a new API key?",152af39a53
How do I fix the 429 error in responses.create when the model I picked is not available to me?,152af39a53
How much does it usually cost to use the OpenAI API for this course?,554d0eb78b
Do I need to spend a lot of money to use the OpenAI API in the course?,554d0eb78b
What is the minimum amount I can recharge my OpenAI account with?,554d0eb78b
Can I get started with the OpenAI API by only adding around $5?,554d0eb78b
"Will the API usage for the course be expensive, or is it usually just tiny charges?",554d0eb78b
Do I need to subscribe or pay for the OpenAI API to finish the llm-zoomcamp homework?,85384a18e5
Is there a free way to complete the course without paying for OpenAI?,85384a18e5
What should I use instead of the OpenAI API if I want to keep costs low for this course?,85384a18e5
Are there any alternatives to OpenAI API listed in the course GitHub repo?,85384a18e5
Can I do the Module 1 RAG assignments without buying an OpenAI plan?,85384a18e5
Why does the course recommend uv over pip and virtualenv for the setup?,f81dea8f7e
"What’s the main benefit of using uv instead of separate Python tools like pip, virtualenv, and poetry?",f81dea8f7e
"Do I have to use uv in the course, or can I still set everything up with pip and virtualenv?",f81dea8f7e
How does uv make Python environment and dependency management easier compared with the usual tools?,f81dea8f7e
"What problem is uv solving when it replaces tools like pyenv, pip-tools, pipx, and twine?",f81dea8f7e
Why does my Jupyter notebook keep saying my OPENAI_API_KEY isn't found?,86d99bbf21
Do I need python-dotenv to load environment variables in the notebook?,86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client?,86d99bbf21
What’s the right way to make my .env file work in Jupyter for OpenAI auth?,86d99bbf21
Could the problem be that my variable name in .env is not exactly OPENAI_API_KEY?,86d99bbf21
How do I keep my OpenAI or Groq API keys in a .env file and read them in Python?,233dabe430
What’s the easiest way to load environment variables from .env in a RAG project?,233dabe430
Do I need to install something extra to use .env files for API keys in Python?,233dabe430
How should I set up .gitignore so my API keys in .env don’t get pushed to GitHub?,233dabe430
Can you show a simple example of storing API keys in .env and accessing them with os.getenv()?,233dabe430
Is it okay if I use a different model or API provider than the one suggested in the homework?,ee43413718
"Do I have to stick with the recommended model, or can I try OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model?",ee43413718
"If I use another provider for the assignment, will I need to change the code a lot because of different responses or tokenizers?",ee43413718
Is the homework built so that I can complete it without paying for a service?,ee43413718
Where can I find a list of alternative LLM APIs or providers that I can use for this course?,ee43413718
What do I need to set up before I can call Gemini from the Module 1 notebook using the OpenAI-style endpoint?,0ae5c221b9
How can I point an OpenAI client to Google’s Gemini API and use a model like gemini-3.1-flash-lite?,0ae5c221b9
"Can I use the chat.completions approach with Gemini in the course notebook, and what parts of the code need to change?",0ae5c221b9
"Where should I store the Gemini API key, and how does the notebook load it for the client?",0ae5c221b9
Why does the Gemini setup in the notebook differ from the course examples that use the Responses API?,0ae5c221b9
How do I get a Pydantic object back from Gemini if the Responses API parse method isn't there?,341f71f28c
Can I still use the OpenAI SDK with Gemini and have the output parsed into my model?,341f71f28c
What should I call instead of responses.parse when using the OpenAI-compatible Gemini endpoint?,341f71f28c
How do I define the schema so Gemini returns a list of question-and-answer items as structured output?,341f71f28c
Is there a way to skip manual JSON parsing and get the parsed result directly from chat completions with Gemini?,341f71f28c
"How do I install Ollama on macOS, Windows, or Linux for the RAG module?",1d0b969028
"After installing Ollama, what command should I run to start llama3 locally?",1d0b969028
How can I check if the Ollama server is running on my machine?,1d0b969028
What is the easiest way to install the Ollama Python package in my virtual environment?,1d0b969028
Can you show a tiny Python example for calling llama3 with the ollama client?,1d0b969028
How do I fix a connection refused error when I prompt my Ollama RAG homework notebook?,c6fc2d4d11
My Ollama server keeps refusing the connection in Module 1 RAG — what should I restart?,c6fc2d4d11
What command should I run to get Ollama working again after a connection refused error?,c6fc2d4d11
"If I stop the notebook cell with ollama serve, do I need to run it again before continuing?",c6fc2d4d11
"Why am I seeing connection refused when using Ollama in the homework, and how can I bring the server back up?",c6fc2d4d11
Why does tiktoken show fewer tokens than the number OpenAI returns for the same chat prompt?,bf0403d21b
"In chat.completions.create, what hidden tokens get added around each message and the assistant reply?",bf0403d21b
"Could newlines, spaces, or weird Unicode characters be the reason my token count is off from OpenAI's API?",bf0403d21b
"If my prompt text is 320 tokens in tiktoken, why might OpenAI report something like 327 instead?",bf0403d21b
How does OpenAI’s chat formatting change the token count compared with counting plain text only?,bf0403d21b
"How can I make my API key load automatically when I enter the project folder, instead of exporting it in every new terminal?",8b2f5e9d04
What do I need to install and add to my shell config so a `.env` file gets picked up on `cd`?,8b2f5e9d04
"Is there a way to use this with both `.env` and `.envrc`, and does it work on different shells too?",8b2f5e9d04
"If I’m already using `direnv`, how should I set up the project so the key is available without manual exports?",8b2f5e9d04
"For a Python script, what’s the easiest way to read the project’s `.env` file, and what should I use in GitHub Codespaces?",8b2f5e9d04
How do I decide on field weights in minsearch without just guessing?,87d4ea4e08
What's the best way to test different weighting settings for search fields?,87d4ea4e08
Should I tune search field weights by trial and error or use some kind of evaluation set?,87d4ea4e08
How can I tell if one field weighting for retrieval is better than another?,87d4ea4e08
What metrics should I use to compare different search weight choices?,87d4ea4e08
What’s the best way to clean documents before using them in a RAG pipeline?,649c280e6d
"When preparing files for RAG, which kinds of noise should I remove and which context should I keep?",649c280e6d
"Do I need to store RAG documents in JSON, or can I use another format?",649c280e6d
How should I split documents into chunks so retrieval works better?,649c280e6d
What metadata is actually worth keeping when I’m getting data ready for RAG?,649c280e6d
"I’m using GitHub Codespaces and `uv` keeps saying it failed to hardlink files. Is that actually a problem, or can I ignore it?",acf8fa5356
"If `uv` can’t hardlink packages in Codespaces, does the install still go through or does it break the setup?",acf8fa5356
How do I stop the hardlink warning from `uv` for just my current terminal session in Codespaces?,acf8fa5356
What’s the easiest way to make `uv` always use copy mode so this warning doesn’t keep showing up every time I open a shell?,acf8fa5356
"Is there a recommended `uv` setting for Codespaces when hardlinking isn’t possible, and where can I read more about it?",acf8fa5356
I’m getting ‘dotenv is not recognized’ — which package do I need to install for this?,0bed1f48da
What should I add with uv so that `from dotenv import load_dotenv` works in Python?,0bed1f48da
"Do I need `python-dotenv` for loading a .env file, and what’s the install command?",0bed1f48da
"After installing the dotenv package, how do I use `load_dotenv()` in my script?",0bed1f48da
What dependency fixes the missing dotenv error in LLM Zoomcamp Module 1 RAG?,0bed1f48da
Can I do the RAG module on my own laptop instead of using Codespaces?,aa310de435
"Is Codespaces required for the course, or just the simplest option to get started?",aa310de435
"If I set everything up locally, what tools do I need installed for this module?",aa310de435
Can I skip Codespaces and use my own Python/Jupyter/Docker environment for the lessons?,aa310de435
"If I run the course locally, do I need to keep track of my setup somehow?",aa310de435
"If I don’t commit my changes in Codespaces, where do they actually get saved?",610ccb23c0
Is code in GitHub Codespaces lost right away if I don’t push or commit it?,610ccb23c0
Why do I need to commit regularly when using Codespaces if the files are already there?,610ccb23c0
Can a Codespace stop or disappear and take my uncommitted code with it?,610ccb23c0
What’s the safest way to make sure my work in Codespaces is not lost?,610ccb23c0
Why does WSL2 say the model needs more memory than available when my PC actually has enough RAM?,f3dd94f323
How do I increase the RAM that WSL2 can use on Windows?,f3dd94f323
Where should I put the .wslconfig file to change WSL2 memory limits?,f3dd94f323
What do I need to add inside .wslconfig to give WSL2 more memory?,f3dd94f323
"After changing the WSL2 memory setting, how can I check that the new RAM limit is working?",f3dd94f323
"My Codespace is stuck on ""Finishing up"" and never connects — what can I try first?",830f3d2018
"If GitHub Codespaces keeps failing, is there a browser workaround or should I switch browsers?",830f3d2018
What does it mean when my Codespace setup seems to disappear after a rebuild or new Codespace?,830f3d2018
Do I need to commit and push before stopping or deleting a Codespace so I don't lose my work?,830f3d2018
"If Codespaces is too flaky, can I do the course locally instead?",830f3d2018
"Can I use something other than OpenAI for the RAG homework, or is the course locked to it?",c6ff9083c0
"What do I need to change in the code if I switch to Groq, OpenRouter, DeepSeek, or another compatible provider?",c6ff9083c0
"Does the course work with local models like Ollama or vLLM, and do I still need an API key for those?",c6ff9083c0
"If a provider is blocked in my country, what's the easiest workaround for using the course code?",c6ff9083c0
Is there a list of OpenAI alternatives or local model tools recommended by the course?,c6ff9083c0
What should I do in the notebook if I keep getting 429 errors from OpenAI while processing lots of docs?,8e21752415
Is there a good way to stop rerunning the same embeddings or responses and hitting the API again?,8e21752415
How many workers should I use if I’m calling OpenAI from a thread pool and don’t want rate limits?,8e21752415
Can I reduce 429s by batching texts together instead of sending one request per item?,8e21752415
"If I hit `insufficient_quota`, is that the same thing as a rate limit problem or a billing issue?",8e21752415
What exactly counts as a tool or function in agentic RAG?,c296ea5a21
Do I need to understand any difference between tools and functions for this course?,c296ea5a21
When would the model decide to call a tool instead of answering directly?,c296ea5a21
Can you give examples of the kind of external help a tool/function can provide?,c296ea5a21
How is tool use in agentic RAG different from the retrieval step in basic RAG?,c296ea5a21
Which free models can I use if I need tool calling support?,0d74a3616f
Does Groq have any no-cost models that support tools or function use?,0d74a3616f
Can I use Deepseek R1 or Llama 4 for tool use without paying?,0d74a3616f
"Besides Groq, what other providers support tool or function calling?",0d74a3616f
Will I need to change my code if I switch away from OpenAI for tools?,0d74a3616f
Why am I getting `AttributeError: 'str' object has no attribute 'output'` when I call `client.responses.create(...)` with a non-OpenAI model?,9e7b3f0c25
"Can I use OpenAI's Responses API with Mistral, Groq, or Gemini, or do those models need a different API call?",9e7b3f0c25
What should I read from the response when I'm using a provider that doesn't support `response.output`?,9e7b3f0c25
"If I switch to `chat.completions.create(...)`, what does the code look like for getting the assistant text back?",9e7b3f0c25
Do I need to change the tools schema too when moving from the Responses API to a non-OpenAI provider?,9e7b3f0c25
"Why do I get a 400 error in Azure OpenAI saying tools[0].function is missing, and how should I define the weather tool?",b9c7c6bb34
What should the JSON for get_weather_tool look like so Azure OpenAI stops complaining about the missing function field?,b9c7c6bb34
I’m trying to use a weather function tool with Azure OpenAI and it keeps failing with an invalid_request_error — what’s the correct tool format?,b9c7c6bb34
How do I update my get_weather_tool object for a city-based weather request so it works with Azure OpenAI?,b9c7c6bb34
Is there a specific schema I need for the weather tool in Module 1 Agentic RAG to avoid the missing required parameter error?,b9c7c6bb34
"Why do I get a 404 in toyaikit when I try Groq or another non-OpenAI model, and what should I change to make it work?",0224d980b3
How can I plug Groq into toyaikit without using OpenAI's normal API endpoint?,0224d980b3
"Is there a way to use Anthropic with toyaikit instead of OpenAI, and which runner/client should I use?",0224d980b3
"In toyaikit, should I use the Responses runner or the chat completions runner for OpenAI-compatible providers like Groq?",0224d980b3
"What’s the correct way to call toyaikit programmatically with `runner.loop(...)`, and is that different from `runner.run()`?",0224d980b3
Where do I find the Module 1 homework questions for the 2026 cohort?,53f15299b6
Is the homework for Module 1 posted somewhere in the course GitHub repo?,53f15299b6
Do I need to check the course platform or GitHub for the homework instructions?,53f15299b6
Which link has the 2026 Module 1 homework details and extra context?,53f15299b6
Where should I go if I want the homework prompt and not just the submission page?,53f15299b6
Why am I getting an empty list back when I filter my query in homework Q3?,83da208a64
Could this be because I indexed the data in the wrong order before running the filters?,83da208a64
Do I need to set the index settings first before inserting the documents for this homework?,83da208a64
My query works but the filtered result is empty — what am I missing in the setup?,83da208a64
"For Module 1 HW Q3, is the fix just to add the index settings before loading the data?",83da208a64
"Why am I getting a 402 error from OpenRouter when I call responses.create, and how do I stop it?",cfb07a27d5
"Do I need to set max_output_tokens in responses.create for the Module 1 homework, and what value should I use?",cfb07a27d5
My rag_helper.py call fails with OpenRouter 402 — where exactly should I add the output token limit?,cfb07a27d5
"In ToyAIKit Q6, how can I pass the token limit so OpenRouter doesn’t reject the request?",cfb07a27d5
"How is OpenRouter 402 different from OpenAI’s 429 quota error, and what should I check in my .env if it keeps happening?",cfb07a27d5
"In the Module 1 homework, what does it mean to point RAG at the chunk index instead of the original documents?",b4300adeb1
"If I already have a list of documents, why do I need to fit the search index on the chunks for RAG?",b4300adeb1
Should `index.fit()` use `documents` or `chunks` when building the retriever in the homework?,b4300adeb1
Why does RAG send only the chunked text into the prompt rather than the full records?,b4300adeb1
What’s the practical difference between searching over full docs and searching over chunks in this assignment?,b4300adeb1
"For the homework, do I have to get the exact same number as one of the choices, or is a close value okay?",5e4ca64cb5
"If my calculated answer is a little different from every multiple-choice option, should I still pick the nearest one?",5e4ca64cb5
Why can my homework result differ from the listed options even when I think my code is right?,5e4ca64cb5
What should I check if my answer is way off and doesn't seem close to any option?,5e4ca64cb5
Do small rounding or dataset differences matter when choosing the homework answer?,5e4ca64cb5
Where can I find the real homework instructions for Module 1 if the platform page is confusing?,7d3a2e3505
"For the 2026 Module 1 homework, what links should I open first to understand the task?",7d3a2e3505
"Why do the homework questions seem different from the lesson, and is that normal?",7d3a2e3505
"If I still don't get what the homework is asking after reading the GitHub files, what should I do?",7d3a2e3505
"How should I ask for help in Slack about a homework question, and what should I include?",7d3a2e3505
How can I check token count for the Module 1 homework if I’m using a provider that isn’t OpenAI?,fe8fed31e6
Where should I read the input/prompt token number from in the API response for this homework?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in Module 1?",fe8fed31e6
What should I do if my model provider doesn’t return any usage or token info at all?,fe8fed31e6
"For the multiple-choice questions in the homework, how am I supposed to pick the token-count answer if my provider tokenization is different?",fe8fed31e6
"Why is my homework repo link getting rejected with a 500 or other non-200 error, and what should I check first?",bcdb8740ce
Do I need to make my GitHub repo public for the submission checker to access it?,bcdb8740ce
Should I submit the repo URL with the .git suffix or just the normal GitHub link?,bcdb8740ce
How can I tell if the URL I pasted for homework is actually reachable by the checker?,bcdb8740ce
What are the most common reasons a homework submission URL won’t open correctly when the checker tries to fetch it?,bcdb8740ce
"What exactly are embeddings in vector search, and why do we convert non-numerical data into numbers?",69430a79a8
How do embeddings keep meaning and context when turning text or other data into numeric form?,69430a79a8
Why should similar inputs produce similar vectors in an embedding model?,69430a79a8
How does the distance between embedding values help with semantic similarity search?,69430a79a8
"What is the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
How do I get rid of the warning about multi-qa-mpnet-base-dot-v1 being made with sentence-transformers v3.0.0 beta?,aa3f597424
Is there a way to suppress the warning I see from multi-qa-mpnet-base-dot-v1 in the vector search module?,aa3f597424
What should I install or upgrade so that the sentence-transformers warning stops showing up?,aa3f597424
I keep seeing a message about the model being built on sentence-transformers v3.0.0 beta — how can I fix that?,aa3f597424
Do I need a newer sentence-transformers version to avoid the multi-qa-mpnet-base-dot-v1 warning?,aa3f597424
Why did the lesson use .dot(...) for cosine similarity instead of actually normalizing the vectors?,92cd22cada
"In the homework, why can't I just use dot product like in the lesson with embeddings?",92cd22cada
"Are the model embeddings in the lesson already unit length, and is that why dot equals cosine similarity there?",92cd22cada
Why do classic embeddings like TF-IDF plus SVD need manual normalization before comparing vectors?,92cd22cada
What's the difference between using dot product on normalized embeddings and using it on vectors that aren't normalized?,92cd22cada
"For vector search, is it better to embed just the answer text, just the question, or both together?",5c4a8d2e60
"When I build a vector index for FAQ search, should I store embeddings from the question field, the answer field, or the combined question plus answer text?",5c4a8d2e60
"Is there a recommended embedding strategy for this course’s vector search task, or do I need to test different options myself?",5c4a8d2e60
Why would embedding only the answer still work for matching user questions in semantic search?,5c4a8d2e60
"Between embedding question only, text only, and question plus text, how do I decide which one is best for my dataset?",5c4a8d2e60
What does cosine similarity measure between two vectors in text analysis?,db78580409
How do you compute cosine similarity for documents using word counts or TF-IDF?,db78580409
Why is cosine similarity useful when comparing the content of two documents?,db78580409
"What does it mean if cosine similarity is 1, 0, or -1?",db78580409
"Can cosine similarity be used only with non-zero vectors, and why?",db78580409
Why does cosine similarity become just a dot product once the embeddings are normalized?,95feb4e75b
How can matrix multiplication be used to compute cosine similarity for a query against all document vectors?,95feb4e75b
What changes after normalizing vectors that makes their magnitudes irrelevant in cosine similarity?,95feb4e75b
Why is cosine similarity between a query and embeddings faster to calculate with matrix multiplication?,95feb4e75b
"If both the query and document embeddings have unit length, why do we no longer need to divide by the vector norms?",95feb4e75b
"For Module 2, do I create a whole new GitHub repository, or is a new Codespace enough?",1e829a8c6f
"If I already have the course repo, should I still open a separate Codespace for the vector search module?",1e829a8c6f
Why does Module 2 recommend using a different Codespace instead of keeping everything in the Module 1 one?,1e829a8c6f
Do I need to worry about losing my work if I delete the Module 2 Codespace later?,1e829a8c6f
Can I just reuse my existing repository and make a fresh Codespace from it for this module?,1e829a8c6f
Why does download.py get stuck at 0% when trying to fetch model.onnx from HuggingFace?,29b69fbe0b
"If the model file won’t download from the script, can I grab model.onnx manually from the browser and place it in models/Xenova/all-MiniLM-L6-v2/ so the script skips it?",29b69fbe0b
Is a slow or blocked HuggingFace CDN connection the reason the download never moves past 0%?,29b69fbe0b
What’s the easiest fix when download.py can’t finish downloading the ONNX model from HuggingFace?,29b69fbe0b
Does the downloader check whether model.onnx already exists locally before trying to download it again?,29b69fbe0b
Why do the matrix-dot and for-loop versions of vector search give slightly different scores even though they should be the same?,e889793af9
"Is it normal for `np.allclose(scores, scores_loop)` to return `False` when comparing the two vector search implementations?",e889793af9
What causes the tiny differences between `X.dot(v_query)` and a Python loop over the same vectors?,e889793af9
Does the optimized BLAS version of dot product compute a different result than the sequential loop in vector search?,e889793af9
How should I compare two vector search score arrays if exact equality fails because of floating-point precision?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk in vector search?,1a7b27c4df
"Could this error happen because my embeddings count doesn’t match the number of chunks, and how do I fix it?",1a7b27c4df
"In the vector search homework, what’s the right way to build embeddings from the chunks list so indexing works?",1a7b27c4df
I keep hitting list index out of range when selecting the top chunk — what should I check in my embedding code?,1a7b27c4df
How do I make sure the encoded matrix has the same number of rows as my chunks so I don’t get this IndexError?,1a7b27c4df
"For Module 2 homework Q2, why does my cosine similarity not match any of the multiple-choice answers?",eaa17a9dc6
"Am I supposed to use sentence-transformers for the homework embedding, or a different embedder?",eaa17a9dc6
"Could the wrong model be the reason my Q2 cosine score is off, even if the code runs fine?",eaa17a9dc6
"In the homework, do I compare the query vector from Q1 with the page content text, or something else?",eaa17a9dc6
"If my cosine similarity is a little different from the choices, should I worry about normalization or just go with the closest option?",eaa17a9dc6
"How do I set up Gemini, OpenAI, and Tavily keys for Kestra so the flows can actually use them?",3860e5fe8b
Do I need to export both a normal GEMINI_API_KEY and a SECRET_GEMINI_API_KEY for the AI Copilot and the flows?,3860e5fe8b
Why does Kestra want the API key base64-encoded and prefixed with SECRET_ before I start it?,3860e5fe8b
"How should I reference the Gemini secret inside a Kestra flow, and do I drop the SECRET_ part there?",3860e5fe8b
"What’s the right way to restart Kestra after adding the env vars, and which flows need the OpenAI and Tavily keys?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help with creating Kestra flows, and what am I missing?",04440cab11
I set up Kestra but the Copilot still refuses to answer — do I need a different Gemini key variable for it?,04440cab11
What should I export before starting Kestra so the AI Copilot actually works instead of giving that canned reply?,04440cab11
"If I already have `SECRET_GEMINI_API_KEY` for my flows, why is the Copilot still not using it?",04440cab11
"Could this Copilot error be caused by a bad key or quota issue, and how do I check and fix it?",04440cab11
Why does my Kestra flow say the Gemini API key is missing even though I already exported SECRET_GEMINI_API_KEY?,c8ca21af33
"Could the secret be failing because I encoded it wrong, like with an extra newline or space?",c8ca21af33
"After changing SECRET_GEMINI_API_KEY, do I need to restart the Kestra container for it to work?",c8ca21af33
"When I use the secret inside a flow, should I reference it as SECRET_GEMINI_API_KEY or without the SECRET_ part?",c8ca21af33
Is it better to put the API key in a .env file and start docker compose with --env-file instead of exporting it in the shell?,c8ca21af33
Why can’t I just keep doing this in a notebook instead of using Kestra?,193612db63
What makes an orchestrator necessary if my code already works in a single script?,193612db63
"Besides running tasks, what extra things does Kestra handle for AI workflows?",193612db63
How is Kestra used in this module apart from orchestration itself?,193612db63
"If I build a flow with one AI provider, can I switch to OpenAI, Gemini, or Anthropic without rewriting everything?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only needed in Module 3?",cce328db64
"For the capstone project, can I use Airflow, Prefect, Dagster, or even just a Python script instead of Kestra?",cce328db64
"If I build the ingestion pipeline with a notebook, will that still count toward the project score?",cce328db64
Why does the course use Kestra in Module 3 if other orchestrators can do the same scheduling and retries?,cce328db64
"Can I switch between OpenAI, Gemini, Anthropic, or other AI providers in Kestra without rewriting the flow?",cce328db64
"Besides Gemini, which AI providers can I use in Kestra — does it work with Groq, Ollama, or even a local model?",f442efe5b4
Can I swap Kestra from one model provider to another without rewriting the whole flow?,f442efe5b4
"If a provider is OpenAI-compatible but doesn’t have its own Kestra plugin, how do I connect it?",f442efe5b4
What’s the difference between Kestra’s generic AI plugin and the vendor-specific plugins like OpenAI or Gemini?,f442efe5b4
"Why does the course use Gemini, and are there other free or free-tier LLM options I can try instead?",f442efe5b4
Is there a way to build a Kestra flow without writing YAML or any code at all?,bfe5502c30
How do the no-code form editor and the AI Copilot differ in Kestra?,bfe5502c30
